epoch,train_loss,train_ce,train_dice_loss,val_iou,val_dice,val_threshold,learning_rate
1,0.389867282117227,0.39916560299185866,0.3759197690879485,0.7006993577805889,0.8240131973648781,0.35,5.897777478867205e-05
2,0.31906518788940935,0.3326104645987591,0.29874724628456145,0.7398589092362194,0.8504815020443354,0.5,5.5980762113533166e-05
3,0.2889907874137043,0.3040195804044425,0.2664475754561673,0.731035501457417,0.8446221938740525,0.55,5.1213203435596425e-05
4,0.2775226520845689,0.29288439706985253,0.25448001436440343,0.7506003145138713,0.8575347648355787,0.4,4.5e-05
5,0.2648502680731107,0.2790412603013487,0.2435637578428031,0.7536149844790162,0.8594987966562212,0.4,3.776457135307562e-05
6,0.25807367462709724,0.27291670561315545,0.23580910762151083,0.753101787769927,0.8591649304378696,0.4,3e-05
7,0.25140355012742394,0.2649170228515763,0.23113332072415027,0.7568952368137645,0.8616281960971556,0.5,2.2235428646924382e-05
8,0.24182117700457095,0.254948148286965,0.2221306983725613,0.7608801581719346,0.864204363529027,0.4,1.5000000000000007e-05
9,0.24222353687248077,0.2561351617117483,0.22135607832406898,0.7630168938457191,0.865580921554675,0.45000000000000007,8.786796564403577e-06
10,0.2360506408126,0.2472813058509884,0.219204624972669,0.7634372286992063,0.8658513229442857,0.5,4.019237886466839e-06
11,0.23683059712251028,0.24966805341492695,0.21757439317473445,0.7630621335346143,0.8656100304358707,0.5,1.022225211327954e-06
12,0.23097122089570785,0.24177979893354049,0.2147583343896521,0.7634013419332554,0.865828242022683,0.45000000000000007,0.0
