epoch,train_loss,train_bce_loss,train_dice_loss,train_focal_loss,train_iou_head_loss,val_global_iou,val_global_dice,val_global_precision,val_global_recall,val_global_specificity,val_global_pixel_accuracy,val_global_balanced_accuracy,val_global_mcc,val_global_cohen_kappa,val_mean_iou,val_mean_dice,val_mean_precision,val_mean_recall,val_mean_specificity,val_mean_pixel_accuracy,val_mean_balanced_accuracy,val_mean_mcc,val_mean_cohen_kappa,val_mean_boundary_precision,val_mean_boundary_recall,val_mean_boundary_f1,val_mean_boundary_iou,val_mean_water_fraction,val_mean_predicted_water_fraction,val_mean_latency_ms,val_ece,val_brier_score,val_auroc_hist,val_auprc_hist,val_images,val_iou,val_dice,val_precision,val_recall,val_specificity,val_pixel_accuracy,val_balanced_accuracy,val_mcc,val_cohen_kappa,val_best_threshold,val_threshold_iou,learning_rate
1,0.4578656692761015,0.5781417647488865,0.5006322884356161,0.11685842605509672,0.06859844388301176,0.6802041268186422,0.8096684396396105,0.8848222076307956,0.746281817882712,0.9438043031847027,0.8714165251442972,0.8450430605337074,0.7195353265493001,0.7136358803352553,0.6207411524968912,0.748181185691616,0.7999731638288109,0.7423873800326704,0.8708887174711103,0.8428830948497542,0.8066380487518904,0.5931289337180907,0.5783255081087739,0.6000667687803912,0.3490056534319302,0.4232739396675848,0.07562440748901159,0.38910508371458596,0.36886383699957875,236.63597866201565,0.03911352684716549,0.08749482958976149,0.9493691603420865,0.9215901044181571,429,0.6207411524968912,0.748181185691616,0.7999731638288109,0.7423873800326704,0.8708887174711103,0.8428830948497542,0.8066380487518904,0.5931289337180907,0.5783255081087739,0.30000000000000004,0.7293612715733879,9.940633895290733e-05
2,0.39040138149058007,0.485179382290347,0.4397675722059476,0.10233804479570513,0.022255891518002738,0.6832196856628845,0.8118009686820165,0.8494662287787879,0.7773340435241968,0.9203138258371958,0.8679147851380327,0.8488239346806963,0.7120207023633418,0.7103609694605804,0.609198457436065,0.7409706473410546,0.7434747262384145,0.7812936493815666,0.8084619322276788,0.828653558522048,0.7948777908046227,0.5585954284513983,0.5407191474494315,0.5634630863260187,0.33945944910990433,0.40830899859987846,0.07268098249577358,0.38910508371458596,0.4186811583156248,236.7199880279846,0.051777860065727065,0.09267489862056501,0.9422066806058764,0.8363968485272695,429,0.609198457436065,0.7409706473410546,0.7434747262384145,0.7812936493815666,0.8084619322276788,0.828653558522048,0.7948777908046227,0.5585954284513983,0.5407191474494315,0.35,0.73297484672341,9.179530750721412e-05
3,0.36744859131673974,0.4540767347492487,0.41507754627480564,0.09847473600409895,0.020418985553794435,0.776197829107221,0.8739992993881376,0.8467257768825069,0.903088290765547,0.9054320406179504,0.9045731062852914,0.9042601656917486,0.7984065180866133,0.7973342646572568,0.6218066498731404,0.7507077031899471,0.7474420171652018,0.7912167649820115,0.8239235791513334,0.8411401243763035,0.8075701720666725,0.5705129185735218,0.5551825044429558,0.5855024450121814,0.39639490077244455,0.4567755742093305,0.10671134597545295,0.38910508371458596,0.4139547525771862,237.4104387342725,0.045602000648667027,0.07518181589287913,0.959214108768286,0.8582541786246886,429,0.6218066498731404,0.7507077031899471,0.7474420171652018,0.7912167649820115,0.8239235791513334,0.8411401243763035,0.8075701720666725,0.5705129185735218,0.5551825044429558,0.5,0.776197829107221,7.668706705539457e-05
4,0.3577527715464545,0.4435016328312763,0.40316842394660274,0.09647289734984732,0.018068374059407963,0.7775941094492611,0.8748837603767459,0.8670868949313832,0.8828221173062106,0.9217172901898336,0.9074630388966797,0.9022697037480221,0.8015555858318022,0.8014739937463812,0.6086332063388316,0.7389968791823709,0.76316095952792,0.7482137225718313,0.8497653404539491,0.842427224622329,0.7989895315128902,0.5621361233275539,0.5496741814056619,0.5778247762447227,0.34126493098667093,0.41401102899187303,0.08786719866390585,0.38910508371458596,0.3905793271352944,237.3746452307671,0.018555522169603746,0.07224849074490497,0.9576832510097336,0.8575064902145371,429,0.6086332063388316,0.7389968791823709,0.76316095952792,0.7482137225718313,0.8497653404539491,0.842427224622329,0.7989895315128902,0.5621361233275539,0.5496741814056619,0.5,0.7775941094492611,5.6791721748795155e-05
5,0.3453194051062857,0.4265182376665065,0.3906640522331598,0.09335462803994565,0.015682789485183035,0.7553584740846374,0.8606315863527902,0.8776966585466188,0.8442174510038793,0.9319488189375659,0.8997971437525593,0.8880831349707226,0.7828172972086109,0.7824567015196398,0.5962318822546626,0.7283539838932854,0.783343852125725,0.7099029880091885,0.8778760355865749,0.8444336100255662,0.7938895117978816,0.5598592691735619,0.5472067757351338,0.589695420983547,0.33255514350501486,0.40884979734035837,0.08962623893732205,0.38910508371458596,0.36442222971064,236.74231136597385,0.019810982542053164,0.07511180369853726,0.955904520147218,0.814986205340979,429,0.5962318822546626,0.7283539838932854,0.783343852125725,0.7099029880091885,0.8778760355865749,0.8444336100255662,0.7938895117978816,0.5598592691735619,0.5472067757351338,0.35,0.7720729184528823,3.5678082798743494e-05
6,0.340058169933597,0.4216626230253273,0.38341012106363076,0.09213468212967207,0.015147682166902503,0.7550129388919397,0.8604072621466042,0.86508834796479,0.8557765633932797,0.9227965246775521,0.8982351382900471,0.8892865440354158,0.7803716799237149,0.7803433911216929,0.6015243133589799,0.7329658077438842,0.7563986104099284,0.7397712070188084,0.8507052334757259,0.8419103759707017,0.7952382202472671,0.5549221289196711,0.5436286404535239,0.5810231204963981,0.3325540660458047,0.40762842008572475,0.09043257155937168,0.38910508371458596,0.389021007138783,236.7216630022793,0.018862614681843866,0.07584425810313342,0.9561294739308284,0.7518623010751124,429,0.6015243133589799,0.7329658077438842,0.7563986104099284,0.7397712070188084,0.8507052334757259,0.8419103759707017,0.7952382202472671,0.5549221289196711,0.5436286404535239,0.35,0.7653431031478015,1.7133497960991946e-05
7,0.3355139688809354,0.4161765095908718,0.37769671230311375,0.09181126482769787,0.015264239558128823,0.7539317579389622,0.8597047798768456,0.8592038416777233,0.8602063025367361,0.9184573766608239,0.8971096003918951,0.88933183959878,0.7784725818327629,0.7784722519498559,0.6032841772483651,0.7347501366403171,0.7586901170270814,0.7430449319173419,0.8531066406309585,0.8425624677315338,0.7980757862741501,0.5588621868301449,0.5468010597917837,0.5874835160627139,0.3410830870783781,0.41676823168804566,0.09238021272332653,0.38910508371458596,0.3883605710488916,237.0267876083613,0.018606502236985113,0.07658724768740392,0.9553884465898961,0.7552599843737592,429,0.6032841772483651,0.7347501366403171,0.7586901170270814,0.7430449319173419,0.8531066406309585,0.8425624677315338,0.7980757862741501,0.5588621868301449,0.5468010597917837,0.4,0.762162564812073,4.484480108701372e-06
