image_id,split,image_path,mask_path,prediction_path,width,height,threshold,model_forward_latency_ms,tp,fp,fn,tn,iou,dice,precision,recall,specificity,pixel_accuracy,balanced_accuracy,mcc,cohen_kappa,water_fraction,predicted_water_fraction,water_fraction_error,target_has_water,prediction_has_water,empty_mask_correct,empty_mask_false_positive,empty_policy,boundary_precision,boundary_recall,boundary_f1,boundary_iou,hd95,assd
water_body_2437,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2437.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2437.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2437.png,213,283,0.45,12.306551933288574,11504,6845,7157,34773,0.4510311299302125,0.6216698189678466,0.6269551474194779,0.6164728578318418,0.8355278965832091,0.7677134657177458,0.7260003772075254,0.45412832169925976,0.45409472254969535,0.3095771329982249,0.30440120108163704,-0.005175931916587884,True,True,False,False,perfect_if_both_empty,0.37848766680145574,0.21935483870967742,0.27774238311761984,0.03093363329583802,59.04023857933964,16.131468916156486
water_body_2439,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2439.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2439.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2439.png,75,94,0.45,12.306551933288574,6138,389,84,439,0.9284525790349417,0.9628990509059534,0.9404014095296461,0.9864995178399228,0.5301932367149759,0.9329078014184398,0.7583463772774494,0.6347531906702559,0.614868090891893,0.8825531914893617,0.9258156028368795,0.04326241134751774,True,True,False,False,perfect_if_both_empty,0.9756756756756757,0.8835616438356164,0.9273368115018519,0.2,3.1622776601683795,1.136847129698414
water_body_2440,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2440.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2440.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2440.png,1270,1597,0.45,12.306551933288574,453749,123607,115622,1335212,0.6547812484667623,0.7913810348932222,0.7859085209125739,0.7969302967660805,0.9152691320856117,0.8820480329752144,0.8560997144258461,0.7092009263045032,0.7091675100658176,0.28072862996070386,0.28466563783471965,0.0039370078740157965,True,True,False,False,perfect_if_both_empty,0.7787349933303691,0.14710392827651292,0.2474620021514331,0.05169118463075083,135.4512824408903,35.36439709138202
water_body_2442,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2442.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2442.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2442.png,384,485,0.45,12.306551933288574,151681,3762,2501,28296,0.960346705161323,0.9797723052079128,0.9757982025565641,0.9837789106380771,0.8826501965188096,0.9663713487972508,0.9332145535784433,0.8803964693414633,0.8801400652410227,0.8278672680412371,0.8346381013745704,0.0067708333333332815,True,True,False,False,perfect_if_both_empty,0.8461981566820277,0.5520416333066454,0.6681781134544933,0.11089108910891089,17.938699100999056,4.207802620034849
water_body_2443,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2443.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2443.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2443.png,270,343,0.45,12.309351921081543,5536,1872,5983,79219,0.413411993129714,0.584984413800391,0.7473002159827213,0.4805972740689296,0.9769148240865201,0.9151819457941907,0.7287560490777248,0.5565714416921778,0.5402173443254867,0.1243818162185509,0.07999136162401468,-0.04439045459453622,True,True,False,False,perfect_if_both_empty,0.8581173260572987,0.23189027003857693,0.36511499401827235,0.03715627095908786,85.15221644717639,22.145313052164624
water_body_2444,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2444.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2444.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2444.png,65,86,0.45,12.309351921081543,1296,445,613,3236,0.550552251486831,0.7101369863013699,0.7443997702469844,0.678889470927187,0.8791089377886444,0.8107334525939177,0.7789992043579157,0.5714069156064798,0.5700738320204135,0.3415026833631485,0.3114490161001789,-0.030053667262969597,True,True,False,False,perfect_if_both_empty,0.9695121951219512,0.7813798836242727,0.8653386869385734,0.3128531073446328,4.123105625617661,1.1215127144434847
water_body_2445,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2445.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2445.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2445.png,273,336,0.45,12.309351921081543,23012,3035,2861,62820,0.7960426179604262,0.8864406779661017,0.8834798633239912,0.8894214045530089,0.9539139017538532,0.9357230071515786,0.921667653153431,0.8416263432090263,0.8416171494830803,0.2820621838478981,0.28395909645909645,0.0018969126111983425,True,True,False,False,perfect_if_both_empty,0.6624390243902439,0.4204326923076923,0.5143933823728469,0.0646817248459959,55.35340706288398,12.743150844624525
water_body_2449,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2449.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2449.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2449.png,464,605,0.45,12.309351921081543,149142,9600,14951,107027,0.8586529105951305,0.9239518639552713,0.9395245114714442,0.9088870335724254,0.9176862990559648,0.9125427472214306,0.9132866663141951,0.8217492028429498,0.8211244504773,0.584543317184383,0.5654816186947849,-0.019061698489598156,True,True,False,False,perfect_if_both_empty,0.9431200965600482,0.47822980583340335,0.634647583815911,0.1371434979254663,17.72004514666935,4.55534255668388
water_body_2450,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2450.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2450.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2450.png,271,337,0.45,12.311984062194824,54536,1774,2187,32830,0.932287125835513,0.9649571364114905,0.9684958266737702,0.9614442113428415,0.9487342503756792,0.9566283793401732,0.9550892308592603,0.9081070978061682,0.9080653757522035,0.6210978133520207,0.6165756019578,-0.00452221139422071,True,True,False,False,perfect_if_both_empty,0.9523809523809523,0.6346496815286624,0.7617096421554762,0.09997904003353594,17.859126318166577,3.4600140482494908
water_body_2460,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2460.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2460.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2460.png,139,174,0.45,12.311984062194824,7144,410,1848,14784,0.7598383322697299,0.8635319714734679,0.9457241196716971,0.7944839857651246,0.9730156640779255,0.9066402050773175,0.883749824921525,0.8003531669361372,0.7933949940381436,0.37178533035640454,0.31232944678739766,-0.059455883569006884,True,True,False,False,perfect_if_both_empty,1.0,0.6607142857142857,0.7956989247311829,0.23098330241187384,6.708203932499369,2.0367032425078118
water_body_2461,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2461.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2461.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2461.png,396,498,0.45,12.311984062194824,197208,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,True,True,False,False,perfect_if_both_empty,1.0,1.0,1.0,1.0,0.0,0.0
water_body_2462,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2462.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2462.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2462.png,170,220,0.45,12.311984062194824,8662,1624,2456,24658,0.6797990896248627,0.809381424032891,0.8421154967917558,0.7790969598848714,0.9382086599193364,0.8909090909090909,0.8586528099021039,0.7342208578712826,0.7331328420472277,0.2972727272727273,0.27502673796791444,-0.022245989304812863,True,True,False,False,perfect_if_both_empty,0.9925477410340009,0.7514450867052023,0.8553304938612755,0.22477224947442187,6.0,1.6873144747230473
water_body_2464,train,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_2464.jpg,/kaggle/input/datasets/franciscoescobar/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_2464.jpg,/kaggle/working/aereo-water-v3-full/evaluation/predictions/water_body_2464.png,199,264,0.45,12.3089599609375,14009,1561,1931,35035,0.8004685446545912,0.8891780387178674,0.899743095696853,0.8788582183186952,0.95734506503443,0.9335312928277752,0.9181016416765626,0.8418356254194502,0.8417172258477584,0.30341099436576824,0.29636820465966196,-0.007042789706106278,True,True,False,False,perfect_if_both_empty,0.9730839416058394,0.7064631956912029,0.8186111312945807,0.2725880551301684,5.770017718971715,1.6209514904551336
