threshold,iou,dice,precision,recall,specificity,pixel_accuracy,balanced_accuracy,mcc,cohen_kappa
0.1,0.7084231445884512,0.8293298376721606,0.7448445157048588,0.9354329994321356,0.7958820149123442,0.8501842205341046,0.8656575071722399,0.713289078659423,0.698857585200849
0.15000000000000002,0.7271081567724903,0.8419949311469453,0.7758381521527409,0.9204860324790993,0.8305907688235544,0.8655708953217193,0.8755384006513269,0.7345379111658172,0.7264920285249785
0.2,0.7396643739442993,0.8503529589069828,0.8002100770295879,0.9072000630706494,0.855721393831433,0.8757528202794926,0.8814607284510412,0.7491335615331997,0.7448455642137919
0.25,0.748397729129524,0.8560955172392374,0.8208769472625613,0.8944715605072617,0.8756719097942824,0.8829872469246248,0.8850717351507721,0.7597950032760364,0.7578117488633107
0.30000000000000004,0.7548069948842772,0.8602735196346237,0.8394609457563386,0.8821443335249066,0.8925394260782121,0.8884944782390461,0.8873418798015593,0.7682530834345164,0.7675996130554108
0.35,0.7592602170251027,0.8631585136495687,0.8562171623248167,0.8702133319012945,0.9069153313090728,0.8926338160232509,0.8885643316051837,0.7748986832119705,0.7748297321487265
0.4,0.7620204397232062,0.8649393872444648,0.8718575869233807,0.8581301152067677,0.9196603762895723,0.8957176653099505,0.88889524574817,0.7800848237449477,0.7800196706099218
0.45000000000000007,0.7634013419332554,0.865828242022683,0.8865652990836036,0.846039106087803,0.9310467179838126,0.8979684789697607,0.8885429120358077,0.7841454846584367,0.7835872232130929
0.5,0.763212859193395,0.8657070020945025,0.9000125878845951,0.8339206292439862,0.9409865826049006,0.8993249817605897,0.8874536059244434,0.7868367169373496,0.7853754052935422
0.55,0.7617607675825174,0.8647720866526085,0.9122866126301294,0.8219619313786765,0.9496597244636723,0.8999698434398447,0.8858108279211744,0.7884312346922885,0.7857421399061101
0.6,0.7590832160819685,0.8630441233731801,0.9232932639641022,0.8101763807273463,0.9571251397721137,0.8999443054199219,0.88365076024973,0.7889122010145236,0.7847522972591784
0.65,0.7549395223205365,0.8603595881438565,0.9329305048650469,0.7982641174850807,0.963444590417088,0.8991694150271116,0.8808543539510844,0.7880239447183833,0.7822025578265074
0.7000000000000001,0.7490624859536574,0.8565302748977995,0.9414860656188432,0.7856376019899247,0.9688973804488271,0.8975871693004261,0.8772674912193759,0.7856100162568096,0.7779078049679993
0.75,0.7413257598601356,0.8514498285716273,0.9492500839597188,0.7719197357431197,0.9737120856178414,0.8951904634773592,0.8728159106804805,0.7816538129530614,0.7718017529397179
0.8,0.7313486183433378,0.8448311456107988,0.9567534026751962,0.7563520941855031,0.9782226393312796,0.8918881716428103,0.8672873667583914,0.7760291359910939,0.7636058812606414
0.85,0.7173133063851344,0.8353901454301846,0.9640394199542558,0.7370342855249432,0.9824874701099687,0.8869765043814422,0.8597608778174559,0.7673613738678035,0.7516472148183512
0.9,0.695477410103889,0.8203912431499446,0.9712898746314471,0.7100747364343831,0.9866303637389398,0.879016787300021,0.8483525500866614,0.7528973209452844,0.7324593276155161
