threshold,iou,dice,precision,recall,specificity,pixel_accuracy,balanced_accuracy,mcc,cohen_kappa
0.1,0.5543981569095351,0.7133283765747551,0.5599295148100286,0.9824932235828697,0.5533103298400007,0.710596706646665,0.7679017767114352,0.5388706919909527,0.4622760773931674
0.15000000000000002,0.6099928327408703,0.7577584450514745,0.6195568760292393,0.975317916239437,0.6535486769941837,0.7714702403802676,0.8144332966168104,0.6133298646584527,0.5609758206017994
0.2,0.6532332064016063,0.7902493173645119,0.667545335261847,0.9682217446266699,0.7210579671529999,0.811638220008961,0.8446398558898349,0.6655745303591428,0.629518864968768
0.25,0.690020782449437,0.8165826001847778,0.7100837628489135,0.9606635634965358,0.773106664134448,0.8418422674770849,0.8668851138154918,0.7071480442300552,0.6829741533573802
0.30000000000000004,0.7203951387315292,0.8374763709954288,0.747270060058906,0.9524509895539904,0.813658660378697,0.8645230888142316,0.8830548249663437,0.7398912158230097,0.724200611039586
0.35,0.743369953141864,0.8527965642658675,0.7779312697268677,0.9436057745231995,0.8441796287660489,0.8806171905933913,0.8938927016446242,0.7638927017596963,0.7539444040484908
0.4,0.7600226036007844,0.8636509577159679,0.803624095802549,0.9333691524825962,0.8680600985953408,0.8919944739126195,0.9007146255389685,0.7810088873108653,0.775056194569534
0.45000000000000007,0.7712072287681404,0.8708266500295491,0.8263307768533774,0.9203872311649023,0.8881007998573482,0.8999330883162281,0.9042440155111253,0.7926031097996001,0.7895470659965533
0.5,0.776197829107221,0.8739992993881376,0.8467257768825069,0.903088290765547,0.9054320406179504,0.9045731062852914,0.9042601656917486,0.7984065180866133,0.7973342646572568
0.55,0.7742243256478105,0.8727468273946962,0.865476650962138,0.8801401803982295,0.9208626274698175,0.9059387191594629,0.9005014039340236,0.798223578035308,0.7981527179621114
0.6,0.7649772050561977,0.8668408893494355,0.8827795151177964,0.8514676016549969,0.9345956161793557,0.9041309718370731,0.8930316089171764,0.7922989881202992,0.7919837814639985
0.65,0.7488090886592442,0.8563645894971098,0.89907432316301,0.8175286129554366,0.9469119832262307,0.8994957375519087,0.8822202980908336,0.7814220231166055,0.7793383563901712
0.7000000000000001,0.7264707524186376,0.8415674014760045,0.9151111748792997,0.7789651332273453,0.9581994354658385,0.8925138864619843,0.8685822843465919,0.7666811379282685,0.7610273368212609
0.75,0.6977775663336415,0.8219893820843627,0.9306315210534676,0.7360614036175569,0.9682615346783343,0.8831651390832592,0.8521614691479455,0.7480173111926319,0.736789102449989
0.8,0.6604239168945736,0.795488320994242,0.945869648447177,0.6863649611849636,0.977277708518578,0.8706643913009762,0.8318213348517708,0.7237443995125753,0.7043718143629152
0.85,0.6104981599260527,0.7581482240924562,0.9608474595454412,0.6260726777958059,0.9852423326703241,0.8536143146441475,0.805657505233065,0.6908897281308617,0.6597629867201905
0.9,0.5387027823965083,0.7002038191644603,0.9738483337139547,0.5466102058241643,0.9915087184650198,0.8284629025199923,0.7690594621445921,0.6414657984015724,0.5929443505681098
