timestamp_utc,request_id,model_version,checkpoint_sha256,device,threshold,resize_policy,status,error_type,error_message,input_filename,input_width,input_height,input_pixels,preprocessing_ms,model_ms,postprocessing_ms,total_ms,predicted_water_fraction,output_width,output_height,output_values
2026-08-01T18:13:18.671058+00:00,benchmark-015,segformer-v3.0.0,dc0af932cfbcb2f3ea9cfa0e18e0f8438636027de2579d534412f7472b4521a4,cuda,0.45,letterbox,ok,,,water_body_2496.jpg,334,435,145290,13.536467000449193,15.40998363494873,4.00827000157733,33.15406299952883,0.13353293413173653,334,435,"[0, 1]"
2026-08-01T18:13:18.706927+00:00,benchmark-016,segformer-v3.0.0,dc0af932cfbcb2f3ea9cfa0e18e0f8438636027de2579d534412f7472b4521a4,cuda,0.45,letterbox,ok,,,water_body_2496.jpg,334,435,145290,13.875895998353371,15.352736473083496,3.319420999105205,32.75266199852922,0.13353293413173653,334,435,"[0, 1]"
2026-08-01T18:13:18.742385+00:00,benchmark-017,segformer-v3.0.0,dc0af932cfbcb2f3ea9cfa0e18e0f8438636027de2579d534412f7472b4521a4,cuda,0.45,letterbox,ok,,,water_body_2496.jpg,334,435,145290,13.355216000491055,15.308735847473145,3.462646000116365,32.308441999703064,0.13353293413173653,334,435,"[0, 1]"
2026-08-01T18:13:18.777363+00:00,benchmark-018,segformer-v3.0.0,dc0af932cfbcb2f3ea9cfa0e18e0f8438636027de2579d534412f7472b4521a4,cuda,0.45,letterbox,ok,,,water_body_2496.jpg,334,435,145290,14.780120000068564,16.315935134887695,7.752468000035151,39.0195149993815,0.13353293413173653,334,435,"[0, 1]"
2026-08-01T18:13:18.819141+00:00,benchmark-019,segformer-v3.0.0,dc0af932cfbcb2f3ea9cfa0e18e0f8438636027de2579d534412f7472b4521a4,cuda,0.45,letterbox,ok,,,water_body_2496.jpg,334,435,145290,12.320256000748486,15.330975532531738,3.093381999860867,30.909896000594017,0.13353293413173653,334,435,"[0, 1]"
2026-08-01T18:13:18.852903+00:00,benchmark-020,segformer-v3.0.0,dc0af932cfbcb2f3ea9cfa0e18e0f8438636027de2579d534412f7472b4521a4,cuda,0.45,letterbox,ok,,,water_body_2496.jpg,334,435,145290,13.025991998802056,15.350687980651855,3.277302999777021,31.8245639991801,0.13353293413173653,334,435,"[0, 1]"
2026-08-01T18:13:18.887489+00:00,benchmark-021,segformer-v3.0.0,dc0af932cfbcb2f3ea9cfa0e18e0f8438636027de2579d534412f7472b4521a4,cuda,0.45,letterbox,ok,,,water_body_2496.jpg,334,435,145290,13.101071999699343,15.34556770324707,3.3138700000563404,31.92372999910731,0.13353293413173653,334,435,"[0, 1]"
2026-08-01T18:13:18.922140+00:00,benchmark-022,segformer-v3.0.0,dc0af932cfbcb2f3ea9cfa0e18e0f8438636027de2579d534412f7472b4521a4,cuda,0.45,letterbox,ok,,,water_body_2496.jpg,334,435,145290,13.148161000572145,15.327168464660645,3.2655630002409453,31.908977000057348,0.13353293413173653,334,435,"[0, 1]"
2026-08-01T18:13:18.956769+00:00,benchmark-023,segformer-v3.0.0,dc0af932cfbcb2f3ea9cfa0e18e0f8438636027de2579d534412f7472b4521a4,cuda,0.45,letterbox,ok,,,water_body_2496.jpg,334,435,145290,12.957233000634005,15.335424423217773,3.3643280003161635,31.834653000260005,0.13353293413173653,334,435,"[0, 1]"
2026-08-01T18:13:18.991445+00:00,benchmark-024,segformer-v3.0.0,dc0af932cfbcb2f3ea9cfa0e18e0f8438636027de2579d534412f7472b4521a4,cuda,0.45,letterbox,ok,,,water_body_2496.jpg,334,435,145290,13.285307000842295,15.359647750854492,3.1559140006720554,31.977810998796485,0.13353293413173653,334,435,"[0, 1]"
