experiment,prompt_mode,split,images,global_iou,global_dice,global_precision,global_recall,global_specificity,global_pixel_accuracy,global_balanced_accuracy,global_mcc,global_cohen_kappa
experiment_A_zero_shot_sam,box,test,421,0.38494947664277734,0.5559039995826044,0.4528809652906046,0.7196016372167986,0.30274966354165245,0.48828003747070625,0.5111756503792255,0.02441063969692962,0.021120164847217838
experiment_A_zero_shot_sam,box,train,1991,0.3141976449816493,0.4781588921292529,0.3861133796810626,0.6278263164277489,0.3289297705624064,0.44909119030430583,0.4783780434950776,-0.04456273034389739,-0.039220782703995705
experiment_A_zero_shot_sam,box,validation,429,0.3596966171072344,0.5290836390730924,0.4178561958335972,0.7210050421903289,0.4189290025029224,0.5296334282739175,0.5699670223466257,0.13984059487963518,0.12137529272093253
experiment_A_zero_shot_sam,box_points,test,421,0.5640557663573768,0.7212732160708566,0.601633845902931,0.9003057104954486,0.5218776886986425,0.6903065239280717,0.7110916995970455,0.4448697064291381,0.4024106262066315
experiment_A_zero_shot_sam,box_points,train,1991,0.49380337583649686,0.6611357074487503,0.5466769186135529,0.8362158050121977,0.5338232541379352,0.6553901264724045,0.6850195295750665,0.3728492663439091,0.34049002097067094
experiment_A_zero_shot_sam,box_points,validation,429,0.427208771631944,0.5986633211950505,0.47460704915682067,0.8105240406147615,0.4809568998653975,0.6017362278365993,0.6457404702400795,0.2902421957333657,0.25364432046390145
experiment_A_zero_shot_sam,point1,test,421,0.7068304369286511,0.8282374413249323,0.9560776388006632,0.7305528802704595,0.9730819863889505,0.8651383551038826,0.851817433329705,0.7381461214667691,0.7204555781075724
experiment_A_zero_shot_sam,point1,train,1991,0.41115118600012335,0.5827174155102718,0.9055662596090045,0.4295691487184856,0.9698841460667187,0.7526684636263667,0.6997266473926022,0.4985400620683316,0.4371000679261312
experiment_A_zero_shot_sam,point1,validation,429,0.4630336359942974,0.6329774307336599,0.8849973534478112,0.49267795902134454,0.9629646493714196,0.7906146077831416,0.727821304196382,0.5448073051760931,0.5026006833312263
experiment_A_zero_shot_sam,points,test,421,0.5429670330326433,0.7037960259791969,0.8309626310646242,0.6103855048098238,0.900412627304094,0.7713288184605672,0.755399066056959,0.5411594598486384,0.5245806098993027
experiment_A_zero_shot_sam,points,train,1991,0.6132267306180197,0.7602486606245302,0.8542660984348995,0.6848739141075811,0.9214523520501061,0.8263438558940424,0.8031631330788436,0.6360975606229837,0.6266879814972325
experiment_A_zero_shot_sam,points,validation,429,0.6537036093348285,0.7905934360242083,0.8297549596811639,0.7549618832322144,0.910393997892449,0.8534314429753531,0.8326779405623317,0.6800313846647706,0.6782408957792755
experiment_B_finetuned_sam,box,test,421,0.7102330292764807,0.830568720307018,0.7503195119673832,0.9300395995796055,0.7517789333802505,0.8311182915826955,0.840909266479928,0.6813417403001616,0.6660286333606328
experiment_B_finetuned_sam,box,train,1991,0.5333284714993322,0.6956480381243145,0.6588208580948219,0.7368361666224255,0.7434682011109237,0.7408020121203216,0.7401521838666746,0.4734005884968051,0.47116227134740696
experiment_B_finetuned_sam,box,validation,429,0.5328494866241074,0.6952404541657067,0.673275558799991,0.7186868441714238,0.7982488894802532,0.7690910967993296,0.7584678668258384,0.5103937772689714,0.5096902616046751
experiment_B_finetuned_sam,box_points,test,421,0.8224424842386485,0.9025716765840603,0.9005078610589053,0.9046449736891603,0.9198362053902762,0.913074968606143,0.9122405895397183,0.8241134941065885,0.8241064397884363
experiment_B_finetuned_sam,box_points,train,1991,0.7893207110736906,0.882257390962691,0.8843444812159998,0.8801801287567252,0.9226123621656643,0.9055538933416892,0.9013962454611948,0.8034186363824579,0.8034123990621491
experiment_B_finetuned_sam,box_points,validation,429,0.7775941094492611,0.8748837603767459,0.8670868949313832,0.8828221173062106,0.9217172901898336,0.9074630388966797,0.9022697037480221,0.8015555858318022,0.8014739937463812
experiment_B_finetuned_sam,point1,test,421,0.7943119434607665,0.8853666123725877,0.8610585908855134,0.9110869541620931,0.8820880950374056,0.8949947609924336,0.8965875245997493,0.789710337514368,0.7886398289389324
experiment_B_finetuned_sam,point1,train,1991,0.5760402915062538,0.7309969099276268,0.7837345602837438,0.6849092348598854,0.8729407503645091,0.7973489304796598,0.7789249926121973,0.5729491822247079,0.5696191774516394
experiment_B_finetuned_sam,point1,validation,429,0.5676696608837839,0.7242210205991438,0.7926048756816184,0.6666999131203245,0.8990840842877503,0.8139202419188549,0.7828919987040375,0.5903698390792013,0.5853821431344323
experiment_B_finetuned_sam,points,test,421,0.8251115861391435,0.9041765910703482,0.9121490461750659,0.896342291720731,0.9307605844047431,0.9154418642956218,0.913551438062737,0.8286253156054728,0.828523954579542
experiment_B_finetuned_sam,points,train,1991,0.7840340512661609,0.8789451644263381,0.8735346603066232,0.8844231094866621,0.9139191404321582,0.9020612417572148,0.8991711249594101,0.7967581088982724,0.7967150096429672
experiment_B_finetuned_sam,points,validation,429,0.7967959374306531,0.8869075456281804,0.8830445957850335,0.8908044415427895,0.9317492394772648,0.9167438443180324,0.9112768405100271,0.8210527359275936,0.8210330617094329
experiment_C_segformer,automatic,test,421,0.9037129833991068,0.9494214635081327,0.9661222200718366,0.9332882868167572,0.9737519212778267,0.9557425709420138,0.953520104047292,0.9105314649305428,0.9101015849739356
experiment_C_segformer,automatic,train,1991,0.8755456971422538,0.9336436840502603,0.9520427993335558,0.9159422456461455,0.96898151499851,0.947658839994014,0.9424618803223277,0.8909099349040264,0.8904564062468037
experiment_C_segformer,automatic,validation,429,0.8058344323837406,0.8924787543451829,0.933323861844089,0.8550587668390073,0.9646636655594403,0.9244958078667553,0.9098612161992238,0.8363709132594855,0.8344705352483023
experiment_D_auto_sam,segformer_auto_prompt,test,421,0.7454292309492446,0.8541500482879457,0.779066457463891,0.9452497834762589,0.785002916155992,0.8563247836111711,0.8651263498161255,0.7281688811653515,0.7151536917377489
experiment_D_auto_sam,segformer_auto_prompt,train,1991,0.7146093435627647,0.8335535394644323,0.7980475443934658,0.872366044684517,0.8515862065929581,0.8599400496922806,0.8619761256387375,0.715177907333094,0.713071372497885
experiment_D_auto_sam,segformer_auto_prompt,validation,429,0.7095976415104811,0.8301340903623734,0.8026037162914049,0.8596202057940656,0.8776984713952092,0.8710731726314239,0.8686593385946374,0.7275530602519965,0.7264421624124352
