image_id,iou_v3,iou_historical
water_body_1002,0.6142920770030188,0.5971857607896671
water_body_1015,0.8935658175543749,0.8994271458930057
water_body_1018,0.8746992840787223,0.795545447415889
water_body_1024,0.7675530325664774,0.7912650602409639
water_body_1028,0.6969875034277432,0.6986411176425681
water_body_1030,0.8396124031007752,0.8200774501042598
water_body_1059,0.8270599551138186,0.8270667010043781
water_body_1061,1.0,1.0
water_body_1070,0.8051224944320713,0.7834057577403585
water_body_1084,0.7974464621801719,0.7992661119437697
water_body_1092,0.9225781683231669,0.9105550883095038
water_body_1104,0.7349368826285475,0.7398229018707123
water_body_1114,0.9310815421357899,0.9280573509073976
water_body_1115,0.9293275053978619,0.846355345708557
water_body_1119,0.5861771988373344,0.6365242342159078
water_body_1143,0.8060324670986706,0.8024832261188352
water_body_1148,0.15568374858437145,0.1553398058252427
water_body_1156,0.9348639377474905,0.9302907140516582
water_body_1160,0.8382059921023077,0.8206608206608207
water_body_117,0.87704278060469,0.8781725888324873
water_body_1174,0.8792124542124542,0.8786172161172161
water_body_1179,0.729852980539501,0.7269827116461088
water_body_118,0.9118377102932614,0.9252604882818468
water_body_1180,0.8624305555555556,0.854648002174504
water_body_1183,0.5711730263226317,0.6110176101145273
water_body_1209,0.7257049000821243,0.7227110177669297
water_body_1210,0.7535632684147535,0.7499722067815453
water_body_1223,0.7614902907043548,0.6732998788717771
water_body_1224,0.798070939639079,0.7702214543741165
water_body_1227,0.6889734886707641,0.6930466159547494
water_body_1233,0.525087960838305,0.508138711960368
water_body_1239,0.5536951501154734,0.5652522017614091
water_body_1255,0.7770088101050844,0.8028661260069899
water_body_1259,0.8887906612284262,0.8658258258258258
water_body_1262,0.4676768613629513,0.4254121431443506
water_body_1269,0.8209195158514777,0.7163180026627648
water_body_1275,0.8810721203993443,0.8756949077162552
water_body_1283,0.7235948116121063,0.7267623206487835
water_body_1286,0.8036431824270024,0.8072529224229543
water_body_1290,0.8892869022337078,0.8798312534734503
water_body_1291,0.637637988435255,0.614020230533992
water_body_1292,0.8757008357135301,0.8727598566308243
water_body_1317,0.8624810020439181,0.854985207868376
water_body_1326,0.5739605920618459,0.6359904534606206
water_body_1342,1.0,1.0
water_body_1355,0.905387830933581,0.9024055462497672
water_body_1361,0.8728270345110507,0.880711831375968
water_body_1362,0.7637773772461631,0.6831347630394493
water_body_1363,0.9305290688170871,0.9305699670507708
water_body_1371,1.0,1.0
water_body_1379,0.43483009854404475,0.3647370848708487
water_body_1387,0.32598784194528874,0.2416929420325006
water_body_1394,0.7352044570587617,0.7347583447404443
water_body_1410,0.8535102009153673,0.8572825935069169
water_body_1415,0.7468165683596585,0.4664814800836359
water_body_1418,0.9409613652021834,0.9333706756288176
water_body_1426,0.5687941809240856,0.5068058455114822
water_body_1432,0.8989999045254917,0.903715911414789
water_body_1444,0.5750319779046936,0.5753784883333175
water_body_1448,0.5736664193255833,0.4703288627595076
water_body_1452,0.3443089430894309,0.2598402738163149
water_body_1469,0.8019871317897317,0.7971421057245551
water_body_1478,0.950370829164483,0.9490539493858968
water_body_1480,0.864023712486106,0.8689010826041821
water_body_1488,0.8570466984463276,0.8537973081536752
water_body_15,1.0,1.0
water_body_1501,0.9473968532649065,0.9486960431654676
water_body_1503,0.8775590379326902,0.8774032130629444
water_body_1507,0.8377490694109919,0.8617981346524185
water_body_1520,0.077290850406476,0.0773900399854598
water_body_1531,0.6910064843529743,0.70033558284471
water_body_1532,0.7328358208955223,0.703646477132262
water_body_1552,1.0,1.0
water_body_1553,1.0,1.0
water_body_157,0.8412917577570667,0.8410270525322429
water_body_1575,0.7907108147813312,0.8003605769230769
water_body_158,0.7990030367272102,0.8006495603122448
water_body_1580,0.5947482067955623,0.5978745204565492
water_body_1597,0.9107449452886759,0.8910328322488968
water_body_1600,0.9419293074345603,0.9417692326974656
water_body_1604,0.632890365448505,0.634734441186054
water_body_1605,0.673331234256927,0.6920703486578217
water_body_1617,0.8225649980597594,0.8254475084663764
water_body_1621,1.0,1.0
water_body_1637,0.7362779901693064,0.6238644986849182
water_body_1641,0.7690420960565844,0.7351048214084083
water_body_1646,0.21518242448018832,0.2313330279431974
