experiment,prompt_mode,split,iou,dice,precision,recall,specificity,pixel_accuracy,balanced_accuracy,mcc,cohen_kappa,boundary_f1,boundary_iou,hd95,assd,water_fraction,predicted_water_fraction,latency_ms,images
experiment_A_zero_shot_sam,box,test,0.3688692003523294,0.4774937776220989,0.4299233756378117,0.6907504490022814,0.31417194299488754,0.46162697733252445,0.5024611959985845,-0.046082896366888504,0.05021505558552069,0.3982921119638965,0.05971303792339527,134.19767447612207,86.43447813836103,0.38841168345591565,0.7278855472223084,234.77590845130618,421
experiment_A_zero_shot_sam,box,train,0.36430386783635565,0.4707099767602895,0.43210570297362705,0.6644802324698081,0.36818607864279884,0.47895688675479087,0.5163331555563034,-0.017224797293377343,0.06649351736527005,0.3729407551018676,0.05425122474008974,151.37996685740885,99.51804229469599,0.38737451461400724,0.6877932008339184,234.6827970821155,1991
experiment_A_zero_shot_sam,box,validation,0.33945917921320184,0.44510438807375086,0.40204893789528107,0.6340296847363274,0.337122130262579,0.4611540037776338,0.48557590749945323,-0.07293080418153894,0.017231583644819817,0.3796962098010228,0.05401745080320347,175.71268696562777,119.2158264348568,0.38910508371458596,0.7012735592214125,234.70268122959527,429
experiment_A_zero_shot_sam,box_points,test,0.4909998474239435,0.6135027146648127,0.5691456651486108,0.7978852927488558,0.4942471228269311,0.6283484099939879,0.6460662077878935,0.2558410122713093,0.26924703390860366,0.4093297235356693,0.06938785911271515,129.1800818534408,83.43140019616618,0.38841168345591565,0.6419046780144618,235.18855044181961,421
experiment_A_zero_shot_sam,box_points,train,0.5011361882140852,0.6231297887092311,0.5735797580414427,0.8092768010112621,0.5104695957143955,0.6335154783075786,0.6598731983628289,0.2721936460346922,0.28780835255031834,0.4023536384758318,0.06473155790492023,139.97749296523125,94.02421477419314,0.38737451461400724,0.6377909646014728,235.09794576544297,1991
experiment_A_zero_shot_sam,box_points,validation,0.47930884465997686,0.6044828056856811,0.5518458426792606,0.8039665863787981,0.4706756627601113,0.6085238579561585,0.6373211245694548,0.2309884365037873,0.25373931979188313,0.4107477694482368,0.06710150219876754,159.01622999198062,113.29570204800491,0.38910508371458596,0.6615638211688856,235.11879091141387,429
experiment_A_zero_shot_sam,point1,test,0.48378998075016455,0.595059772804753,0.8391760578674919,0.5758270043354491,0.8142092394306429,0.7728281163888339,0.695018121883046,0.4200078177533263,0.39052748826788003,0.30977742219400867,0.048660659878731645,255.5181670699653,138.7674652115966,0.38841168345591565,0.3474268545925659,234.96387573871368,421
experiment_A_zero_shot_sam,point1,train,0.47084297314204726,0.5787451503180773,0.8484232970594621,0.5579259974491494,0.8332054176175321,0.771387247067308,0.6955657075333407,0.428521766066299,0.3936421253973568,0.2893330066211197,0.042687081649542206,292.15664589452916,163.44985883681352,0.38737451461400724,0.3258606819957403,234.87435388423057,1991
experiment_A_zero_shot_sam,point1,validation,0.48516863336060617,0.6002737101587439,0.856341615559158,0.5746258717301904,0.8219037795163927,0.7773964068141302,0.6982648256232916,0.4418943180222318,0.40902420888439633,0.30407379415800356,0.04469743447227663,300.4826048893261,174.57744105173543,0.38910508371458596,0.3372668809645937,234.86083774008608,429
experiment_A_zero_shot_sam,points,test,0.5666658136367202,0.6889891964106226,0.8112737534339239,0.6700796013842494,0.818210592230208,0.7956497266910522,0.7441450968072287,0.5024261611818006,0.48366051891867406,0.35441855434899294,0.05612150544966725,196.28753313949622,104.23542500662874,0.38841168345591565,0.3839839632898295,235.07306257720398,421
experiment_A_zero_shot_sam,points,train,0.5726720148645099,0.6949072808908525,0.8272673498737653,0.6702443031406474,0.8389725620779119,0.8071886860455015,0.7546084326092797,0.520900992534219,0.4984847359473897,0.3440436681641059,0.05104199746347449,218.77240303032085,119.35051391442016,0.38737451461400724,0.3702994883996001,234.97905526192528,1991
experiment_A_zero_shot_sam,points,validation,0.5819212936526,0.7050082462985192,0.828785247514871,0.6798291437826783,0.8330701055813553,0.8121478774427847,0.7564496246820168,0.5248917376984443,0.5055330580764109,0.36138132366399367,0.0552232934961205,231.28973567874942,134.57551841402497,0.38910508371458596,0.3806244061384064,234.97943504311306,429
experiment_B_finetuned_sam,box,test,0.5373136498045332,0.6691531014474131,0.6075250507525598,0.8399339106687956,0.6632417750715011,0.743506725153073,0.7515878428701483,0.44047894260275283,0.4089666286786566,0.3491604337937844,0.07203256293186903,87.3529125483545,35.91146483685392,0.38841168345591565,0.525332023483026,236.6477702233087,421
experiment_B_finetuned_sam,box,train,0.5495702343545211,0.6809070500799361,0.6192644826845867,0.8439760094892536,0.6830130167832994,0.7523512408011692,0.7634945131362766,0.4622472142808128,0.4329644563926543,0.34515252247496925,0.06797387967238369,132.62363257408936,81.71186684699545,0.38737451461400724,0.5169071753856087,236.80450708189383,1991
experiment_B_finetuned_sam,box,validation,0.5381999670716641,0.6716043708624576,0.6104493039132853,0.8511022095397092,0.6604428892491927,0.7360648256626203,0.7557725493944509,0.45289441085757426,0.41774295918616305,0.33691185320476086,0.059962509393013244,157.78707490115127,106.49725215077073,0.38910508371458596,0.5311078600033252,236.6237857365731,429
experiment_B_finetuned_sam,box_points,test,0.6043377918700515,0.7348393099932918,0.763013536835863,0.7436524408323177,0.8414158108003283,0.8374751706193432,0.792534125816323,0.5561406213087001,0.542931941723876,0.40206151773393783,0.0832645917612548,103.06571641582342,49.00527421592386,0.38841168345591565,0.38905508585351306,237.06792318052177,421
experiment_B_finetuned_sam,box_points,train,0.6103879964628331,0.7398813604299518,0.7636848908939056,0.7502712154759964,0.8517308671733432,0.8433245361515176,0.8010010413246699,0.5626116490727903,0.5501227229459296,0.39352150453892115,0.08051374213323967,137.70288740538297,78.0729571134695,0.38737451461400724,0.38781805821394333,237.22307031494483,1991
experiment_B_finetuned_sam,box_points,validation,0.6086332063388314,0.7389968791823709,0.76316095952792,0.7482137225718313,0.8497653404539491,0.842427224622329,0.7989895315128902,0.5621361233275538,0.549674181405662,0.41401102899187303,0.08786719866390581,119.04182564965795,55.667244519034426,0.38910508371458596,0.3905793271352944,237.04257819809652,429
experiment_B_finetuned_sam,point1,test,0.5784895903389425,0.7120061178588536,0.7019421891184763,0.7772370622282944,0.7807878804605628,0.806780265272212,0.7790124713444285,0.5159874456363032,0.4981357133761368,0.37884446110874515,0.07128026466106553,114.55861001776418,62.42149370353766,0.38841168345591565,0.4287063925466651,236.82452049403966,421
experiment_B_finetuned_sam,point1,train,0.5812761120221158,0.7137402516055843,0.7100710582859173,0.7744277138224427,0.7957794195551423,0.808522126968219,0.7851035666887924,0.5275978277283523,0.5104234869341147,0.37888572462838566,0.06915005016400416,147.65534519525303,89.75628076526485,0.38737451461400724,0.41976539144832453,236.98758674766836,1991
