threshold,iou,dice,precision,recall,specificity,pixel_accuracy,balanced_accuracy,mcc,cohen_kappa
0.1,0.599187253054912,0.7493647187473392,0.6289179534173907,0.926874395873788,0.6836380090262737,0.7727789569823927,0.8052562024500308,0.5902429326950369,0.5550869566809083
0.15000000000000002,0.6383149012729695,0.779233468214199,0.6797664744567948,0.9127990030739024,0.7512462273178581,0.8104518739831497,0.8320226151958803,0.6400098797297405,0.6192999480115459
0.2,0.6673020900039576,0.8004573304437874,0.7195446367203466,0.9018728006956331,0.7966525350136573,0.8352135182146042,0.8492626678546452,0.6753948314017287,0.6631115763672552
0.25,0.6894771561237408,0.816201809683708,0.7523091526128735,0.8919543558013818,0.8301194305006443,0.8527806117882905,0.8610368931510131,0.7018992093229651,0.6948884823054678
0.30000000000000004,0.7047483497855562,0.8268063141098896,0.7798755211394585,0.8797471082282532,0.8563557110058062,0.8649281591886278,0.8680514096170298,0.720253861136563,0.7167573954058799
0.35,0.7095976415104811,0.8301340903623734,0.8026037162914049,0.8596202057940656,0.8776984713952092,0.8710731726314239,0.8686593385946374,0.7275530602519965,0.7264421624124352
0.4,0.7022874430184687,0.8251102901554439,0.8213909420686001,0.8288634746878558,0.8957384837024098,0.8712302192301682,0.8623009791951328,0.7232338540450113,0.7232152826786281
0.45000000000000007,0.6829593267422941,0.8116171506821844,0.8373483017964677,0.7874202549262768,0.9115197167556045,0.86603991082819,0.8494699858409407,0.7086404934657566,0.7078352600119874
0.5,0.6592841391542256,0.7946609306954233,0.8526249236873604,0.7440763916415416,0.9256003300923171,0.8590756782507553,0.8348383608669294,0.6918385405403695,0.6881410188871014
0.55,0.6307127803377726,0.773542450813603,0.868829994792517,0.697090195422227,0.9391197862506134,0.850421103296573,0.8181049908364202,0.6728422120317815,0.6638670845654654
0.6,0.6012787200021785,0.7509982022384716,0.888362888643633,0.6504250724418781,0.9527172289386364,0.8419336009664224,0.8015711506902572,0.6558988160526767,0.6392265152911495
0.65,0.5699880511861827,0.7261049544364826,0.9104696295506579,0.603832475895123,0.965651415158443,0.8330524909085557,0.784741945526783,0.6397401696037672,0.6129955926013649
0.7000000000000001,0.5348397159545656,0.6969323381392066,0.9330086735076117,0.5561990029766763,0.9768979475057076,0.8227207571375312,0.766548475241192,0.6216442598494699,0.5826953066213634
0.75,0.49204305910586,0.6595561114713777,0.951614801655982,0.5046689201921793,0.9851561908820415,0.8090678541604733,0.7449125555371104,0.5964539571012637,0.543638914973404
0.8,0.4450034852702542,0.615920293350748,0.9604372404265726,0.453313068407952,0.9891980219854163,0.7928076160250499,0.7212555451966841,0.563741846392555,0.4979221091118237
0.85,0.3909306140184213,0.5621137533079616,0.9662043459756976,0.3963502572056051,0.9919802934489395,0.7736945889537734,0.6941652753272722,0.5235439266298998,0.4434534603387606
0.9,0.3270935381796088,0.49294722454648854,0.9724351014076967,0.3301546924080204,0.9945862186649074,0.7510862354999699,0.6623704555364639,0.4740698938256765,0.37725677295827703
