image_id,split,experiment,prompt_mode,status,image_path,mask_path,prediction_path,probability_path,threshold,tp,fp,fn,tn,iou,dice,precision,recall,specificity,pixel_accuracy,balanced_accuracy,mcc,cohen_kappa,boundary_precision,boundary_recall,boundary_f1,boundary_iou,hd95,assd,water_fraction,predicted_water_fraction,latency_ms
water_body_1450,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1450.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1450.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1450.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1450.png,0.5,90596,6982,2665,7487,0.9037638538351805,0.949449535996311,0.9284469860009429,0.971424282390281,0.5174511023567627,0.9104520560660911,0.7444376923735219,0.5705788932697824,0.5593772101093737,0.8010180472003702,0.3343005803482089,0.47172800930197845,0.06092345291088418,21.78759765625,7.124748229980469,0.865692007797271,0.9057644110275689,7.5901023747064755
water_body_1451,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1451.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1451.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1451.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1451.png,0.5,30818,7906,6528,142572,0.6810306726774508,0.8102537136847641,0.7958372069001136,0.8252021635516521,0.9474607583832853,0.9231514609421586,0.8863314609674686,0.7622890762103459,0.7620924292309832,0.8148698884758364,0.4660294703305456,0.5929480406151215,0.07545702061454687,15.0,4.103196144104004,0.19883507964903313,0.20617173524150267,7.5901023747064755
water_body_1453,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1453.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1453.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1453.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1453.png,0.5,3777,1514,3620,146777,0.42385815284479855,0.5953656998738966,0.7138537138537139,0.5106124104366635,0.9897903446601615,0.9670237911720878,0.7502013775484124,0.587511579850555,0.5786702873898806,0.9757853403141361,0.471315092674316,0.6356191285917003,0.10917501927525058,27.0,5.521317958831787,0.04751169004676019,0.033984635938543756,7.591895499899692
water_body_1454,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1454.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1454.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1454.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1454.png,0.5,33134,7627,2299,1628,0.7694844403158384,0.869727275113526,0.8128848654350973,0.9351169813450738,0.17590491626148028,0.7778822055137845,0.555510948803277,0.15890880218459774,0.1410088830686194,0.8504366812227074,0.10365623822088202,0.184789270361647,0.022908184966883394,63.51426906585693,24.53069496154785,0.7928974221267454,0.912124060150376,7.591895499899692
water_body_1455,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1455.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1455.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1455.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1455.png,0.5,10307,2525,675,40513,0.7630858073591471,0.8656252624506593,0.8032263092269327,0.9385357858313604,0.9413309168641666,0.9407626804887079,0.9399333513477635,0.8320532389898087,0.827925860222778,0.4212328767123288,0.7228292121909143,0.5322778044586284,0.09032038173142468,71.5906982421875,14.227585792541504,0.20329507589781562,0.23754165124028137,7.591895499899692
water_body_1456,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1456.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1456.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1456.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1456.png,0.5,2368,292,1253,13097,0.6051622795808842,0.7540200604999204,0.8902255639097745,0.6539629936481635,0.978191052356412,0.9091710758377425,0.8160770230022878,0.712433752002327,0.6999129556937287,1.0,0.6618004866180048,0.7964860907759882,0.19006211180124225,6.0,1.828991413116455,0.2128747795414462,0.15637860082304528,7.591895499899692
water_body_1460,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1460.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1460.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1460.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1460.png,0.5,188973,113356,5316,983632,0.6142566919663899,0.761039672343733,0.6250574705039874,0.9726386980220187,0.8966661440234533,0.9080971782197004,0.934652421022736,0.7339568220108866,0.7074446904420015,0.2645301466594242,0.0409260948056057,0.07088534717247746,0.007601135919193294,108.057373046875,42.48561096191406,0.1504626815160496,0.23413179356559438,7.591895499899692
water_body_1461,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1461.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1461.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1461.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1461.png,0.5,18423,1249,4125,13802,0.7741732151111484,0.8727143533870204,0.9365087433916226,0.8170569451836083,0.9170154806989569,0.8570706667730524,0.8670362129412825,0.7201078325399509,0.7114712835276488,0.9378698224852071,0.2928587027735313,0.44634268881631206,0.05670621355318721,54.125587463378906,17.017854690551758,0.5996968004468204,0.5232054043990532,7.591895499899692
water_body_1462,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1462.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1462.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1462.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1462.png,0.5,8620,598,4163,21075,0.6441969957402287,0.7836007454206627,0.9351269255803862,0.67433309864664,0.9724080653347483,0.8618237752495936,0.8233705819906942,0.7057657748074463,0.6859775867747144,0.8581314878892734,0.2573452256033578,0.3959491734377098,0.04325095057034221,70.09976806640628,15.272911071777344,0.3709948920362201,0.2675296029719062,7.591895499899692
water_body_1464,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1464.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1464.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1464.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1464.png,0.5,18425,10068,13382,181423,0.44,0.6111111111111112,0.6466500543993261,0.5792750023579715,0.9474231164911144,0.8949833854311279,0.7633490594245429,0.5517319910930997,0.5506182431275214,0.6422939068100358,0.26311825257343713,0.3733089922571843,0.052448142110292875,69.0,17.563034057617188,0.1424419385753567,0.12760078460174296,7.591895499899692
water_body_1465,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1465.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1465.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1465.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1465.png,0.5,26435,4698,17103,1723,0.5480346629073721,0.708039265578337,0.8490990267561751,0.6071707473930819,0.26833826506774644,0.5636221701795472,0.4377545062304141,-0.08597733344645184,-0.06827000511904563,0.7415902140672783,0.5160442227315626,0.6085923451297695,0.11541774332472007,12.984498977661133,3.723292827606201,0.8714746091795272,0.6231710002201806,7.59197649995258
water_body_1466,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1466.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1466.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1466.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1466.png,0.5,2059,537,644,32952,0.6354938271604939,0.7771277599547084,0.7931432973805855,0.7617462079171291,0.9839648839917585,0.9673684792219275,0.8728555459544438,0.7597112982414616,0.7595309731394599,0.949238578680203,0.5438202247191011,0.6914866795529035,0.11189710610932475,45.51069869995115,6.526512145996094,0.07468501326259946,0.07172855879752431,7.59197649995258
water_body_1468,train,experiment_C_segformer,automatic,ok,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Images/water_body_1468.jpg,/kaggle/input/satellite-images-of-water-bodies/Water Bodies Dataset/Masks/water_body_1468.jpg,/kaggle/working/aereo-water-four-experiments-output/predictions/experiment_C_segformer/water_body_1468.png,/kaggle/working/aereo-water-four-experiments-output/probabilities/experiment_C_segformer/water_body_1468.png,0.5,59196,13184,0,0,0.8178502348715114,0.8997993555055633,0.8178502348715114,1.0,0.0,0.8178502348715114,0.5,0.0,0.0,0.0,0.0,0.0,0.0,395.77897872423694,395.77897872423694,0.8178502348715114,1.0,7.59197649995258
