model,configuration_selected_on_validation,test_images,iou,dice,precision,recall,specificity,pixel_accuracy,boundary_f1,recorded_model_stage_latency_ms,latency_scope
A — Zero-shot SAM,points,421,0.5666658136367202,0.6889891964106226,0.8112737534339239,0.6700796013842494,0.818210592230208,0.7956497266910522,0.35441855434899305,235.07306257720398,historical recorded model stage
B — Fine-tuned SAM,points,421,0.6037614607022608,0.7353169806582024,0.7669795564310936,0.7394731549736305,0.8470913377855865,0.8396497284883919,0.39283700198544064,236.96362387409494,historical recorded model stage
C — Original SegFormer,automatic,421,0.7189947353293029,0.8190710938509662,0.8596342575670756,0.8058885635642526,0.917559166611023,0.8945305917304766,0.5985122548091031,8.29630242397169,historical recorded model stage
D — SegFormer–SAM hybrid,segformer_auto_prompt,421,0.6093288060213055,0.7352062851698752,0.691418725526126,0.8495237595347176,0.7341796056517361,0.8047573700847778,0.4130588290430807,242.81045914478082,SAM stage only; lower bound
E — Tuned SegFormer V3,Optuna + confirmation,421,0.7276253229163739,0.8258247060989728,0.860920285313485,0.8158677970684586,0.9102503623421817,0.8960980173303289,0.6558145413439712,14.279789358306667,V3 measured model forward pass
