split,images,iou,dice,precision,recall,specificity,pixel_accuracy,balanced_accuracy,mcc,cohen_kappa,boundary_f1,boundary_iou,hd95,assd,water_fraction,predicted_water_fraction,water_fraction_error,model_forward_latency_ms
test,421,0.7276253229163739,0.8258247060989728,0.8609202853134849,0.8158677970684586,0.9102503623421817,0.8960980173303288,0.8630590797053201,0.6986990744058535,0.7285080998531739,0.6558145413439712,0.19682555215187025,46.739785773023705,11.085487070489483,0.3884116834559157,0.3745405469985807,-0.013871136457335002,14.279789358306667
train,1991,0.7610973131735674,0.8529714512518453,0.8778113609070284,0.840615911185823,0.91625882634021,0.9155748363076971,0.8784373687630165,0.7267553462334662,0.7656330943074954,0.6718645041014218,0.2000205844238322,49.874406675990336,11.789584728187346,0.38737451461400724,0.3801568741784398,-0.007217640435567485,14.361223124547678
validation,429,0.7378008497924579,0.8329813667035116,0.8568319900703153,0.8305579620992467,0.9070820622404147,0.9004363670998708,0.8688200121698307,0.7021958984645112,0.7357145371103644,0.6639495142621996,0.20607136517595065,57.761196234747274,13.671637278108303,0.38910508371458596,0.3829574259825789,-0.006147657732007019,14.88405675821371
