threshold,iou,dice,precision,recall,specificity,pixel_accuracy,balanced_accuracy,mcc,cohen_kappa
0.1,0.6475366412656514,0.7860664522376976,0.6691021792841467,0.9525858851999922,0.6999214810346174,0.7982384830643803,0.8262536831173048,0.640002081299067,0.6059123103207941
0.15000000000000002,0.6750584113189064,0.8060117865231688,0.7076439404435919,0.9361426813481123,0.7536408726921134,0.824656141943587,0.8448917770201129,0.6729026985420523,0.6515943395112419
0.2,0.6910930344165721,0.8173329560842281,0.7345310471623485,0.9211747594003261,0.7879321115901486,0.8397796115119418,0.8545534354952373,0.6916506589807195,0.6778441026585189
0.25,0.7020729814843034,0.8249622538183483,0.7565952105612131,0.9069121546967639,0.8141510733307631,0.8502463494147454,0.8605316140137635,0.7047001110252434,0.6959659430342089
0.30000000000000004,0.7113000150149558,0.8312978539987209,0.7767573023209349,0.8940760206990559,0.8363199807811798,0.858794063399166,0.8651980007401179,0.7161097614790961,0.7109070187334487
0.35,0.7190332823276335,0.8365553939177214,0.7955946847424611,0.8819627083359518,0.8556622811699783,0.8658963272343705,0.8688124947529651,0.7261335937436593,0.7233716381993599
0.4,0.7250746009202919,0.8406298493218548,0.813305225517575,0.8698543547883991,0.872809567302014,0.8716596323293406,0.8713319610452066,0.7345691394514596,0.7334081533058894
0.45000000000000007,0.7290741948368876,0.8433116369603386,0.8299154838905811,0.8571473556601908,0.888103705704478,0.8760579427083334,0.8726255306823345,0.7411029656285966,0.7408387947570797
0.5,0.7308129828048084,0.8444736549416391,0.8449278209253352,0.8440199769426503,0.9013274598938569,0.8790279201694302,0.8726737184182536,0.7454931135444207,0.7454928251440343
0.55,0.731035501457417,0.8446221938740525,0.8594016144928297,0.8303425124741634,0.9134691947341667,0.8811228647654429,0.8719058536041651,0.7486952661026026,0.7484049252844682
0.6,0.7303148733690734,0.8441410111063623,0.8744779248882,0.8158383883163907,0.9254058620604225,0.8827708673366021,0.8706221251884065,0.7515382294047259,0.75037729899511
0.65,0.7281094916726312,0.8426659250252674,0.889988784675764,0.8001215252585382,0.9370004154043665,0.8837379775680863,0.8685609703314523,0.7535594310665392,0.7508840255687691
0.7000000000000001,0.7226950984268764,0.8390284491861899,0.9042709487118747,0.7825668154692194,0.9472289291455348,0.8831554581791093,0.864897872307377,0.7528853657391202,0.7480701596566252
0.75,0.7141014629604747,0.833207926591614,0.9182547424340776,0.7625794295991015,0.9567572031201587,0.881198571834253,0.8596683163596301,0.7498997186885105,0.7421745789327134
0.8,0.7011636189280567,0.8243341335619162,0.932184526889658,0.7388516571470357,0.9657616000483032,0.8774661973361925,0.8523066285976695,0.7438390369680636,0.7321754241399437
0.85,0.6819283024735661,0.8108886704274763,0.9467373965296145,0.7091340011357288,0.9745873198231959,0.8712938837793879,0.8418606604794623,0.7335438499784211,0.7163534075877628
0.9,0.6516278747434993,0.7890734767899195,0.9636882865797882,0.6680302190676741,0.9839662327982664,0.8610289246885927,0.8259982259329703,0.716232642389532,0.6904446907673735
