threshold,iou,dice,precision,recall,specificity,pixel_accuracy,balanced_accuracy,mcc,cohen_kappa
0.1,0.6732641681063111,0.8047314715025143,0.6904583665654449,0.9643314647916177,0.749910547942608,0.8284912407298404,0.8571210063671129,0.6884972962654563,0.6591386550022379
0.15000000000000002,0.712232693058636,0.8319344630505141,0.7380572374188404,0.9531733991700688,0.8043067986250126,0.8588632326502816,0.8787400988975407,0.731015601233786,0.7136419894910957
0.2,0.7361734167249546,0.8480413415310109,0.770419487006133,0.9430568822274253,0.8374327289145924,0.8761417283180039,0.8902448055710088,0.7561519521689953,0.745291203673174
0.25,0.7516525012197867,0.8582210235150676,0.7945355247763608,0.9330054963390235,0.8604290322968403,0.8870267584342507,0.896717264317932,0.7721494842965322,0.7653235001121192
0.30000000000000004,0.7610799066356249,0.8643331898432655,0.8135352975685654,0.9218973055695554,0.8777665016885184,0.8939395000750113,0.899831903629037,0.7819264899548107,0.7778277864032205
0.35,0.7653431031478015,0.8670757563026817,0.8291851912710276,0.9085950453792372,0.8917240980656499,0.8979069404271166,0.9001595717224435,0.7866469036391581,0.7844849166055896
0.4,0.7651768924732253,0.8669690791171873,0.8424693342998261,0.892936451836206,0.903412923052467,0.8995735197972379,0.8981746874443365,0.7872790792945686,0.7864205318309487
0.45000000000000007,0.761612413586876,0.8646764835587556,0.8542666445429934,0.8753431546522454,0.9136163960354386,0.899590069372438,0.894479775343842,0.7850255704333903,0.784878265355903
0.5,0.7550129388919397,0.8604072621466042,0.86508834796479,0.8557765633932797,0.9227965246775521,0.8982351382900471,0.8892865440354158,0.7803716799237149,0.7803433911216929
0.55,0.7453903591843279,0.8541245289479779,0.8752613245183776,0.8339845318245463,0.9312442775947818,0.8956006551569716,0.882614404709664,0.7734577882245474,0.7729110360991056
0.6,0.7325780786458894,0.8456508686967134,0.8850739922584377,0.809589968001383,0.939187714827565,0.8916929047179852,0.874388841414474,0.7642806421202808,0.762483191035152
0.65,0.7168897487594589,0.8351028355518443,0.8946493083063686,0.7829883437133602,0.9466631550988911,0.8866798276348477,0.8648257494061257,0.7532278760268473,0.7493634891569654
0.7000000000000001,0.698408305581465,0.8224268608276251,0.9043382817607042,0.7541214888716969,0.9538537895688523,0.8806561613177689,0.8539876392202745,0.7405253383524888,0.7336598132759492
0.75,0.6759393813918791,0.806639415359411,0.9142155785684202,0.7217148951762898,0.9608246449065501,0.8731960214396677,0.84126977004142,0.7252876428497752,0.7142363084139774
0.8,0.6493536972752615,0.7874038156254735,0.9240303945019771,0.6859758401127672,0.9673750467050102,0.8642482392612797,0.8266754434088888,0.707406848395311,0.6908630041572024
0.85,0.6186940293784602,0.7644360430686507,0.9347136654373404,0.6466375108059162,0.9738728491799451,0.8539480770458764,0.8102551799929307,0.6872782609926024,0.6636160927308856
0.9,0.5717734692652879,0.7275520047205766,0.9471458506220315,0.5906183396657605,0.9809341303595762,0.8378917178503786,0.7857762350126684,0.6558907597646342,0.6208040456043442
